level,name,logo,url

intergalactique,AESGUL,./assets/img/logos-partenaires/logo-aesgul.webp,https://www.aesgul.com/
intergalactique,Pratt&Whitney Canada,./assets/img/logos-partenaires/logo-pratt-whitney.webp,https://www.prattwhitney.com/
intergalactique,AsDevice,./assets/img/logos-partenaires/logo-asdevice.webp,https://asdevices.com/
intergalactique,Magicolor,./assets/img/logos-partenaires/logo-magicolor.webp,http://www.magicolor.ca/
intergalactique,AtkinsRéalis,./assets/img/logos-partenaires/logo-atkinsrealis.webp,https://www.atkinsrealis.com/
intergalactique,Kelly Machinerie,./assets/img/logos-partenaires/logo-kellymachinerie.webp,https://www.kellymachinerie.ca/

interstellairе,OnShape,./assets/img/logos-partenaires/logo-onshape.webp,https://www.onshape.com/
interstellairе,Univesité Laval,./assets/img/shared/ulaval-full-black.svg,https://www.ulaval.ca/
interstellairе,Eddyfi Technologies,./assets/img/logos-partenaires/logo-eddyfi.svg,https://www.eddyfi.com/

interplanetaire,Thetford Armature,./assets/img/logos-partenaires/logo-thetford-armature.webp,https://www.thetfordarmature.com/
interplanetaire,La Fusée,./assets/img/logos-partenaires/logo-lafusee.webp,https://lafusee.net/
interplanetaire,KBI,./assets/img/logos-partenaires/logo-kbi.webp,https://www.kaizenbudointernational.com/
interplanetaire,Texonic,./assets/img/logos-partenaires/logo-texonic.webp,https://texonic.net/
interplanetaire,CADEUL,./assets/img/logos-partenaires/logo-cadeul.webp,https://cadeul.com/
interplanetaire,RÉGIÉ,./assets/img/logos-partenaires/logo-regie.webp,https://gelgif.com/
interplanetaire,AEGMUL,./assets/img/logos-partenaires/logo-aegmul.webp,https://www.facebook.com/AEGMUL/
#interplanetaire,Textreme,./assets/img/logos-partenaires/logo-textreme.webp,https://textreme.com/
interplanetaire,Les Entreprises Matrick inc.,./assets/img/logos-partenaires/logo-matrick.webp,http://entreprisesmatrick.com/

orbite-terreste,TeraXion,./assets/img/logos-partenaires/logo-teraxion.webp,https://www.teraxion.com/
orbite-terreste,AEGEP,./assets/img/logos-partenaires/logo-aegep.webp,https://aegep.asso.ulaval.ca/
orbite-terreste,West System,./assets/img/logos-partenaires/logo-west-system.webp,https://www.westsystem.com/
orbite-terreste,Assek Technologie,./assets/img/logos-partenaires/logo-assek.webp,https://assek.com/
